,Ingredient,Substitutes,semantic_substitutions,precision,recall,f1,accuracy,NL_precision,NL_recall,NL_F1
183,soy sauce,"['FERMENTED FOOD', ""FERMENTED FOOD"", 'FERMENTED FOOD', 'worcestershire sauce']","['FERMENTED FOOD', 'FERMENTED FOOD', 'FERMENTED FOOD', 'soy CONDIMENT']",0.0,0.0,0.0,0.0,0.75,0.75,0.75
184,squash blossoms,['FUNGUS'],['CONDIMENT'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,sriracha,['CONDIMENT'],['SAUCE'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,strawberry preserves,"['PROCESSED FRUIT', 'PROCESSED FRUIT']","['FRUIT', 'crème de fraise']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,sui kow wrappers,"['WRAPPER', 'WRAPPER', 'WRAPPER', 'WRAPPER', 'WRAPPER']","['WRAPPER', 'WRAPPER', 'WRAPPER', 'WRAPPER', 'PASTAtte']",0.6,0.6,0.6,0.6,0.8,1.0,0.888888888888889
188,sweet and sour sauce,['CONDIMENT'],['sweet SAUCE'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,sweet bean sauce,['CONDIMENT'],['SAUCE'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,sweet cherry pepper,"['VEGETABLE', 'FERMENTED FOOD']","['VEGETABLE', 'FERMENTED FOOD']",0.0,0.0,0.0,0.0,1.0,1.0,1.0
191,sweet gherkin,['VEGETABLEichon'],['FERMENTED FOOD'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,tabasco sauce,"['SAUCE', 'SAUCE']","['SAUCE', 'SAUCE']",0.0,0.0,0.0,0.0,1.0,1.0,1.0
193,taco sauce,['SAUCE'],['CONDIMENT'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,tamari,['FERMENTED FOOD'],['FERMENTED FOODnd'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,tamarind paste,"['JUICE', 'JUICE']","['FERMENTED FOODnd', 'FERMENTED FOODllo']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,tapenade,['BUTTER'],['CHEESE'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,thai sweet soy sauce,"[""FERMENTED FOOD"", 'FERMENTED FOOD', 'FERMENTED FOOD']","['FERMENTED FOOD', 'FERMENTED FOOD', 'asian SAUCE']",0.333333333,0.333333333,0.333333333,0.333333333,0.6666666666666666,1.0,0.8
198,ti leaves,"['WRAPPER', 'WRAPPER', 'WRAPPER']","['SEASONING', 'DESSERT', 'CHEESE']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,tomato paste,"['TOMATO', 'TOMATO', 'TOMATO', 'CONDIMENT']","['TOMATO', 'TOMATO', 'currant TOMATO', 'TOMATO']",0.5,0.5,0.5,0.5,0.75,0.75,0.75
200,tomato puree,['TOMATO'],['currant TOMATO'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,tomato sauce,['TOMATO'],['TOMATO'],0.0,0.0,0.0,0.0,1.0,1.0,1.0
202,canned tomatoes,['TOMATO'],['TOMATO'],0.0,0.0,0.0,0.0,1.0,1.0,1.0
203,umeboshi plums,['SEASONING'],['PROCESSED FRUIT'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,umeboshi puree,"['sea SEASONING', 'miso', 'FERMENTED FOOD']","['LIQUER', 'GRAIN', 'SEASONING']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,violet,"['GARNISH', 'GARNISH', 'GARNISH']","['crème de SEASONINGte', 'SEASONING', 'GF DISH']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,wasabi,['CONDIMENT'],['CONDIMENT root'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,wasabi powder,"['RADISH', 'RADISH']","['CONDIMENT', 'CONDIMENT']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,wax paper,"['WRAPPER', 'WRAPPER', 'WRAPPER']","['WRAPPER', 'KITCHEN AID', 'WRAPPER']",0.666666667,0.666666667,0.666666667,0.666666667,0.6666666666666666,1.0,0.8
209,whole-grain mustard,"['CONDIMENT', 'CONDIMENT']","['CONDIMENT', 'CONDIMENT']",0.0,0.0,0.0,0.0,1.0,1.0,1.0
210,wonton wrappers,"['WRAPPER', 'WRAPPER', 'WRAPPER', 'WRAPPER']","['WRAPPER', 'WRAPPER', 'WRAPPER', 'WRAPPER']",0.5,0.5,0.5,0.5,1.0,1.0,1.0
211,worcestershire sauce,"['FERMENTED FOOD', 'FERMENTED FOOD']","['SAUCE', 'SAUCE']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,xo sauce,['CONDIMENT'],['TOMATO'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,yellow curry paste,['FERMENTED FOOD'],['SEASONING'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
